precheck1	seed=1	variance=14.123013564599	tolerance=1.006823332435	pooled_n=300000	pooled_variance=13.804505565419	empirical_variance=13.2802
precheck2	mean_signed_movement=0.169976215071	expected=0.171
precheck3	scenario=Q5	paired_sd=0.509429539081
precheck3	scenario=Q20	paired_sd=1.610686454815
precheck3	scenario=Q80	paired_sd=5.365488243716
precheck3	scenario=M5	paired_sd=1.447168237907
precheck3	scenario=M20	paired_sd=1.055791069009
precheck3	scenario=M80	paired_sd=1.478301388106
precheck3	scenario=A20	paired_sd=1.119361438037
precheck3	scenario=B20	paired_sd=0.218777996546
precheck3	s_max=5.365488243716	S=1843
precheck3	S=1843 exceeds 1000; runtime scales linearly with S
candidate	scenario	budget_pairs	estimator	mean_loss	start_loss	mean_diff_vs_current	se_diff	clip_fraction
C3	Q5	3000	final	17.252098813097	17.600000000000	1.009628079212	0.013572928195	0.000000000000
C3	Q5	3000	average	17.308879345592	17.600000000000	1.066408611707	0.014359138319	0.000000000000
C3	Q5	6000	final	16.894523557118	17.600000000000	0.652052823233	0.010172255311	0.000000000000
C3	Q5	6000	average	17.007049747073	17.600000000000	0.764579013187	0.011358730890	0.000000000000
C3	Q5	12000	final	16.201115314452	17.600000000000	-0.041355419434	0.002314316740	0.000000000000
C3	Q5	12000	average	16.417425774271	17.600000000000	0.174955040386	0.005611677998	0.000000000000
C3	Q20	3000	final	64.361846057760	70.400000000000	15.194642346570	0.045341945598	0.000000000000
C3	Q20	3000	average	65.316767029020	70.400000000000	16.149563317829	0.047877694166	0.000000000000
C3	Q20	6000	final	58.780716039232	70.400000000000	9.613512328041	0.033807202303	0.000000000000
C3	Q20	6000	average	60.539921288418	70.400000000000	11.372717577228	0.037706950554	0.000000000000
C3	Q20	12000	final	49.044225018113	70.400000000000	-0.122978693078	0.008614057405	0.000000000000
C3	Q20	12000	average	52.027851269646	70.400000000000	2.860647558456	0.019169844803	0.000000000000
C3	Q80	3000	final	197.650766486658	281.600000000000	130.654147558834	0.127769026153	0.000000000000
C3	Q80	3000	average	209.686298094739	281.600000000000	142.689679166915	0.131303289495	0.000000000000
C3	Q80	6000	final	138.154783655883	281.600000000000	71.158164728060	0.099303868904	0.000000000000
C3	Q80	6000	average	155.719983395900	281.600000000000	88.723364468076	0.111947928143	0.000000000000
C3	Q80	12000	final	67.474386033200	281.600000000000	0.477767105377	0.018017581211	0.000000000000
C3	Q80	12000	average	85.906363250559	281.600000000000	18.909744322736	0.049929845522	0.000000000000
C3	M5	3000	final	73.041532293693	74.814503805451	4.816222499488	0.028793412836	0.091030303030
C3	M5	3000	average	73.320002189579	74.814503805451	5.094692395374	0.030329975437	0.091030303030
C3	M5	6000	final	71.371720675634	74.814503805451	3.146410881429	0.021292642206	0.091066179977
C3	M5	6000	average	71.908849170565	74.814503805451	3.683539376360	0.024056828892	0.091066179977
C3	M5	12000	final	68.225050610026	74.814503805451	-0.000259184179	0.005105926576	0.090435291603
C3	M5	12000	average	69.227140394662	74.814503805451	1.001830600457	0.011711689298	0.090435291603
C3	M20	3000	final	65.475953807239	71.804447220327	15.475616800778	0.045814225587	0.091030303030
C3	M20	3000	average	66.465094222073	71.804447220327	16.464757215612	0.048234739191	0.091030303030
C3	M20	6000	final	59.764114794356	71.804447220327	9.763777787894	0.034386018954	0.091066508821
C3	M20	6000	average	61.552171269327	71.804447220327	11.551834262866	0.038179587886	0.091066508821
C3	M20	12000	final	49.921442570978	71.804447220327	-0.078894435483	0.008723270489	0.090652329042
C3	M20	12000	average	52.944292513147	71.804447220327	2.943955506686	0.019370072605	0.090652329042
C3	M80	3000	final	13.527500913807	18.880611164635	7.675645742130	0.028257436520	0.091030303030
C3	M80	3000	average	14.252415975770	18.880611164635	8.400560804094	0.028845779959	0.091030303030
C3	M80	6000	final	9.870432958688	18.880611164635	4.018577787012	0.022858563851	0.091073842056
C3	M80	6000	average	10.872109915967	18.880611164635	5.020254744290	0.024737686756	0.091073842056
C3	M80	12000	final	5.654403163545	18.880611164635	-0.197452008131	0.003775202454	0.091039428468
C3	M80	12000	average	6.638202662963	18.880611164635	0.786347491287	0.011730789437	0.091039428468
C3	A20	3000	final	64.295450962562	70.400000000000	15.247122847961	0.044586595938	0.000000000000
C3	A20	3000	average	65.246170330986	70.400000000000	16.197842216386	0.047041069104	0.000000000000
C3	A20	6000	final	58.698116983443	70.400000000000	9.649788868843	0.033300435519	0.000000000000
C3	A20	6000	average	60.464111489919	70.400000000000	11.415783375319	0.036817340740	0.000000000000
C3	A20	12000	final	48.944275790369	70.400000000000	-0.104052324232	0.008369789116	0.000000000000
C3	A20	12000	average	51.934931074928	70.400000000000	2.886602960327	0.018832232927	0.000000000000
C3	B20	3000	final	0.153343966002	0.000000000000	-0.491453625926	0.004355450232	1.000000000000
C3	B20	3000	average	0.123405758072	0.000000000000	-0.521391833856	0.004487441098	1.000000000000
C3	B20	6000	final	0.291834509893	0.000000000000	-0.352963082035	0.003565767298	0.999968463802
C3	B20	6000	average	0.236971674429	0.000000000000	-0.407825917499	0.003880733988	0.999968463802
